h1,title,description,price_usd,area,property_type,country,object_id,url
Кондоминиум-курорт рядом с побережьем Банг Тао,Кондоминиум-курорт рядом с побережьем Банг Тао,"Первая фаза проекта состоит из 3 малоэтажных зданий, которые гармонично вписываются в ландшафт острова. Экологичный подход отражается в применении технологий с использованием солнечной энергии, зарядных станций для электромобилей и энергосберегающих приборов. В стоимость входят: встроенные гардеробные и шкафы, мини-кухня. Полный пакет мебели и предметы декора можно приобрести отдельно. Современный кондоминиум курортного типа находится в районе БангТао. В непосредственной близости расположены пляжные клубы, торговые центры и магазины, рестораны и кафе, гольф-клуб, аквапарк, международная школа. Инфраструктура: бассейны, клуб, тренажерный зал, коворкинг, терраса на крыше с зоной барбекю, детская игровая зона, подземная парковка, зарядки для электромобилей, дорожки для прогулок. Площадь: 80 - 144 кв.м. Тип: Апартаменты с 2 спальнями Цена: от 15.114.540 THB до 22.561.470 THB",$ 411 168 - 613 750,80 м²,Квартира,Таиланд,9315,https://intermark.ru/objects/tailand-apartamenty-727933
Комплекс с арендным управлением от отельной сети в районе Чалонг,Комплекс с арендным управлением от отельной сети в районе Чалонг,"Современный кондоминиум расположен на юге Пхукета. Всего в комплексе 398 квартир с 1-3 спальнями. Потрясающая инфраструктура комплекса открывает широкие возможности для непревзойденного комфорта и яркой жизни на острове. Расположение в развитом районе Пхукета, напротив популярного торгового центра. В непосредственной близости находятся рестораны и кафе, больницы, интернациональные школы, пляжи. Общая территория проекта: 2 500 кв.м. Площадь бассейна: 580 кв.м. Инфраструктура: лобби, бассейн, зона отдыха, тренажерный зал, ресторан, кафе, зона коворкинга. Площадь: 92 кв.м. Тип: Апартаменты с 3 спальнями Цена: от 8.188.000 THB до 8.464.000 THB",$ 221 357 - 228 818,92 м²,Квартира,Таиланд,9313,https://intermark.ru/objects/tailand-apartamenty-727928
Комплекс с квартирами с арендным управлением от отельной сети в районе Чалонг,Комплекс с квартирами с арендным управлением от отельной сети в районе Чалонг,"Современный кондоминиум расположен на юге острова. Всего в комплексе 398 квартир с 1-3 спальнями. Потрясающая инфраструктура комплекса открывает широкие возможности для непревзойденного комфорта и яркой жизни на острове. Расположение в развитом районе Пхукета, напротив популярного торгового центра. В непосредственной близости находятся рестораны и кафе, больницы, интернациональные школы, пляжи. Общая территория проекта: 2 500 кв.м. Площадь бассейна: 580 кв.м. Инфраструктура: лобби, бассейн, зона отдыха, тренажерный зал, ресторан, кафе, зона коворкинга. Площадь: 56 кв.м. Тип: Апартаменты с 2 спальнями Цена: от 4.928.000 THB до 5.152.000 THB",$ 133 225 - 139 280,56 м²,Квартира,Таиланд,9312,https://intermark.ru/objects/tailand-apartamenty-727927
Комплекс с арендным управлением от отельной сети в районе Чалонг,Комплекс с арендным управлением от отельной сети в районе Чалонг,"Современный кондоминиум расположен на юге острова, всего в комплексе 398 объектов с 1-3 спальнями. Потрясающая инфраструктура комплекса открывает широкие возможности для непревзойденного комфорта и яркой жизни на острове. Расположение в развитом районе Phuket, напротив популярного торгового центра. В непосредственной близости находятся рестораны и кафе, больницы, интернациональные школы, пляжи. Общая территория проекта: 2 500 кв.м. Площадь бассейна: 580 кв.м. Инфраструктура: лобби, бассейн, зона отдыха, тренажерный зал, ресторан, кафе, зона коворкинга. Площадь: 28 кв.м. Тип: Апартаменты с 1 спальней",$ 66 612 - 68 883,28 м²,Кондоминиум,Таиланд,9311,https://intermark.ru/objects/tailand-apartamenty-727926
Виллы с просторными садами в районе Таланг,Виллы с просторными садами в районе Таланг,"Комплекс современных вилл расположен в самом популярном районе острова – Таланг. Инфраструктура для комфортной жизни и насыщенного отдыха находится в непосредственной близости от проекта: множество кафе, магазинов, больница, международная школа, поле для гольфа, аквапарк и пляжи. Элегантные интерьеры вилл, просторные комнаты, превосходный сад, приватный бассейн и терраса – воплощение идеального дома на тропическом Пхукете. Площади задних дворов достигают 1500 кв.м., поэтому вы сможете разместить на них мини-гольф, сауну, детскую площадку и даже теннисный корт. Инфраструктура: бассейн, сад, парковка на территории каждой виллы, тренажерный зал, игровая площадка, общие зеленые зоны, охрана. Площадь: 301.79 кв.м. Тип: Вилла с 3 спальнями Цена: от 21.380.000 THB до 22.080.000 THB P118",$ 578 933 - 597 887,301 м²,Вилла,Таиланд,9342,https://intermark.ru/objects/tailand-villa-728010
Проект с видом на море в северной части Самуи,Проект с видом на море в северной части Самуи,"Комплекс из 11 стильных объектов расположен на острове Самуи в районе пляжа Банг Макхэм. Каждый дом имеет 2 просторные спальни, личный бассейн и террасу, что обеспечивает приватность и непревзойденный комфорт. Дизайн преимущественно в светлых оттенках и потолки высотой до 3,5 метров создают ощущение легкости и наполняют пространство воздухом и солнечным светом. Инфраструктура: приватный бассейн и парковка для одного автомобиля на территории каждой виллы, тренажерный зал, спа, видеонаблюдение и охрана 24/7. Проект находится среди живописных гор с потрясающим видом на море. В непосредственной близости расположены пляжи, отель, магазины, кафе, поле для гольфа и больница. Площадь: 182 кв.м. Тип: Вилла с 2 спальнями Цена: от 10.400.000 THB до 10.900.000 THB",$ 281 995 - 295 553,182 м²,Дом,Таиланд,9341,https://intermark.ru/objects/tailand-villa-728001
"Квартира 34,66 кв.м в готовом комплексе у пляжа Ката","Квартира 34,66 кв.м в готовом комплексе у пляжа Ката","На перепродаже от клиента Intermark появилась квартира по отличной цене в готовом кондоминиуме в центре туристического района Ката. Комплекс с отельной лицензией успешно функционирует с 2018 года. Рейтинг на Booking 8.4 Пляж Ката находится всего в 500 м от комплекса, а если пройти еще 400 м на север, вы найдете пляжную зону Карон, которая переполнена туристической инфраструктурой, такой как ночные рынки, сувенирные магазины, рестораны, массажные салоны, мини-гольф, детская площадка. ﻿﻿- Площадь квартиры: 34,66 кв.м ﻿- Количество спален: 1 ﻿﻿- Этаж: 1 ﻿﻿- Полный пакет мебели и бытовой техники ﻿﻿- Тип владения: Leasehold Инвестиционная программа Rental Pool: ﻿﻿- 40% от валового дохода - доля инвестора ﻿﻿- 60% от валового дохода - доля УК ﻿﻿- Расходы УК вычитает из своей доли Инфраструктура комплекса: ﻿﻿- 2 общих бассейна (1 этаж + 5 этаж) ﻿﻿- тренажерный зал ﻿﻿- детская игровая комната ﻿﻿- ресторан ﻿﻿- бар у бассейна ﻿﻿- ресепшн 24/7 ﻿﻿- подземный паркинг ﻿﻿- охрана 24/7 ﻿﻿- отельный сервис - прачечная",$ 176 371,34 м²,Квартира,Таиланд,9325,https://intermark.ru/objects/tailand-apartamenty-727954
Комплекс из 4 элегантных вилл в районе Таланг,Комплекс из 4 элегантных вилл в районе Таланг,"Проект состоит из 4 изысканных вилл, дизайн которых сочетает эстетику и функциональность. Доступны виллы с 3 и 4 спальнями. На территории каждой вилл есть приватный бассейн, просторная терраса и задний двор с зоной барбекю, парковка. Система «Умный дом» обеспечит непревзойденный комфорт и безопасность. Комплекс расположен в престижном районе Таланг, в 12-15 минутах езды от красивейших пляжей Лаян и Банг Тао. В непосредственной близости находятся Porto de Phuket, Boat Avenue, Laguna Golf Course, Blue Tree Waterpark, Headstart International School и другие объекты инфраструктуры. Площадь: 381.4 кв.м. Тип: Вилла с 3 спальнями Цена: от 23.500.000 THB до 24.700.000 THB Площадь: 424.4 кв.м. Тип: Вилла с 4 спальнями Цена: от 25.000.000 THB до 26.500.000 THB",$ 645 604 - 728 021,381 м²,Вилла,Таиланд,9320,https://intermark.ru/objects/tailand-villa-727942
Уникальный отель-резиденция в минуте от пляжа Банг Тао,Уникальный отель-резиденция в минуте от пляжа Банг Тао,"Первый и единственный отель-резиденция на центральном западном побережье Пхукета, расположенный прямо на берегу потрясающего пляжа Банг Тао. Комплекс с двуспальными апартаментами и пентхаусами предлагает полный набор оздоровительных услуг от отдыха в безмятежных бассейнах до спа-процедур. Проект находится на территории одного из лучших курортов Азии – Laguna Phuket. Жители комплекса имеют доступ к широким возможностям удобств курорта: изысканным ресторанам, именитым спа-центрам и превосходному полю для гольфа Laguna Golf Phuket. Инфраструктура в проекте: бассейны, пруд, зона оздоровительных и спа-процедур, ресторна, пляжный клуб с баром и спортивным бассейном, детский клуб и площадка, круглосуточная охрана и консьерж-сервис. Площадь: 113 - 220 кв.м. Тип: Апартаменты с 2 спальнями Цена: от 33.680.000 THB до 70.750.000 THB",$ 931 931 - 1 957 664,113 м²,Квартира,Таиланд,9321,https://intermark.ru/objects/tailand-apartamenty-penthaus-727952
Кондоминиум высокого класса в самом популярном районе Бангкока,Кондоминиум высокого класса в самом популярном районе Бангкока,"Готовый 30-этажный кондоминиум, в котором сочетается современная роскошь и функциональность. Из окон каждой квартиры открываются панорамные виды на динамичный мегаполис. Материалы, использованные при строительстве, тщательно проработаны с учетом международных стандартов и инноваций, что обеспечивает исключительный комфорт долговечное качество. Инфраструктура: лобби, парк, игровая комната для детей, клубный дом, бассейны для взрослых и детей, зоны отдыха, студия фитнеса и медитаций, сауна, терраса на крыше, ресторан и бар, коворкинг, паркинг для 204 автомобилей. Проект расположенном в популярном районе Тхонг Ло. В 30 метрах от комплекса находится станция надземного метро BTS. Локация обеспечивает удобную дорожную развязку, а также близость ко всевозможным удобствам и развлечениям: торговым центрам с брендовыми бутиками, ресторанам, кафе и барам, больницам, школам и университетам. Площадь: 75.78 - 107.75 кв.м. Тип:  Апартаменты с 2 спальнями Цена: от 32.929.365 THB до 44.209.873 THB",$ 889 982 - 1 194 861,75 м²,Квартира,Таиланд,9345,https://intermark.ru/objects/tailand-apartamenty-728021
Кондоминиум высокого класса в самом популярном районе Бангкока,Кондоминиум высокого класса в самом популярном районе Бангкока,"Готовый 30-этажный кондоминиум, в котором сочетается современная роскошь и функциональность. Из окон каждой квартиры открываются панорамные виды на динамичный мегаполис. Материалы, использованные при строительстве, тщательно проработаны с учетом международных стандартов и инноваций, что обеспечивает исключительный комфорт долговечное качество. Инфраструктура: лобби, парк, игровая комната для детей, клубный дом, бассейны для взрослых и детей, зоны отдыха, студия фитнеса и медитаций, сауна, терраса на крыше, ресторан и бар, коворкинг, паркинг для 204 автомобилей. Проект расположенном в популярном районе Тхонг Ло. В 30 метрах от комплекса находится станция надземного метро BTS. Локация обеспечивает удобную дорожную развязку, а также близость ко всевозможным удобствам и развлечениям: торговым центрам с брендовыми бутиками, ресторанам, кафе и барам, больницам, школам и университетам. Площадь: 50.73 - 55.71 кв.м. Тип: Апартаменты с 1 спальней Цена: от 19.719.703 THB до 23.191.753 THB",$ 532 964 - 626 804,50 м²,Квартира,Таиланд,9344,https://intermark.ru/objects/tailand-apartamenty-728020
Виллы с просторными садами в районе Таланг,Виллы с просторными садами в районе Таланг,"Комплекс современных вилл расположен в самом популярном районе острова – Таланг. Инфраструктура для комфортной жизни и насыщенного отдыха находится в непосредственной близости от проекта: множество кафе, магазинов, больница, международная школа, поле для гольфа, аквапарк и пляжи. Элегантные интерьеры вилл, просторные комнаты, превосходный сад, приватный бассейн и терраса – воплощение идеального дома на тропическом Пхукете. Площади задних дворов достигают 1500 кв.м., поэтому вы сможете разместить на них мини-гольф, сауну, детскую площадку и даже теннисный корт. Инфраструктура: бассейн, сад, парковка на территории каждой виллы, тренажерный зал, игровая площадка, общие зеленые зоны, охрана. Площадь: 314.11 - 553.03 кв.м. Тип: Вилла с 4 спальнями Цена: от 22.750.000 THB до 51.100.000 THB P118",$ 616 030 - 1 383 698,314 м²,Вилла,Таиланд,9343,https://intermark.ru/objects/tailand-villa-728011
Элегантный кондоминиум в сердце Бангкока,Элегантный кондоминиум в сердце Бангкока,"Первый кондоминиум, основанный на концепции «Роскошный отдых», состоит из 50 этажей и 880 современных апартаментов. Эту идею дополняют архитектура и дизайн интерьера, продуманные до мелочей, чтобы обеспечить непревзойденный комфорт посреди яркого мегаполиса. Проект отличается исключительной формальностью – здесь все предельно симметрично и функционально. Каждая резиденция имеет 1-2 спальни, потолки высотой более 3 метров и балкон, откуда открываются потрясающие виды на сердце Бангкока. Инфраструктура: лобби, парк, библиотека, бар, тренажерный зал, бассейны для детей и взрослых, сад, зал для приемов, беседка возле реки, паркинг для 449 автомобилей. Проект расположенном в центральном районе Ратчатхеви. В непосредственной близости находится станция метро BTS, университеты и школы, торговые центры и магазины, фешенебельные рестораны и бары, больницы и многое другое. Площадь: 52.56 - 70.64 кв.м. Тип:  Апартаменты с 2 спальнями Цена: от 12.580.000 THB до 18.300.000 THB",$ 340 000 - 494 594,52 м²,Квартира,Таиланд,9347,https://intermark.ru/objects/tailand-apartamenty-728023
Элегантный кондоминиум в сердце Бангкока,Элегантный кондоминиум в сердце Бангкока,"Первый кондоминиум, основанный на концепции «Роскошный отдых», состоит из 50 этажей и 880 современных апартаментов. Эту идею дополняют архитектура и дизайн интерьера, продуманные до мелочей, чтобы обеспечить непревзойденный комфорт посреди яркого мегаполиса. Проект отличается исключительной формальностью – здесь все предельно симметрично и функционально. Каждая резиденция имеет 1-2 спальни, потолки высотой более 3 метров и балкон, откуда открываются потрясающие виды на сердце Бангкока. Инфраструктура: лобби, парк, библиотека, бар, тренажерный зал, бассейны для детей и взрослых, сад, зал для приемов, беседка возле реки, паркинг для 449 автомобилей. Проект расположенном в центральном районе Ратчатхеви. В непосредственной близости находится станция метро BTS, университеты и школы, торговые центры и магазины, фешенебельные рестораны и бары, больницы и многое другое. Площадь: 31.64 - 56.49 кв.м. Тип: Апартаменты с 1 спальней Цена: от 7.380.000 THB до 14.990.000 THB",$ 199 459 - 405 135,31 м²,Квартира,Таиланд,9346,https://intermark.ru/objects/tailand-apartamenty-728022
Элитные резиденции в деловом районе Бангкока,Элитные резиденции в деловом районе Бангкока,"Современный комплекс состоит из 372 апартаментов, расположенных на 43 этажах. В проекте представлены разнообразные варианты планировок апартаментов с 1-3 спальнями: от уютных небольших квартир до роскошных пентхаусов. Из окон резиденций открываются потрясающие виды на столицу Таиланда. Развитая инфраструктура комплекса предоставляет широкие возможности для комфортной жизни в динамичном городе: лобби, сад, бассейны для детей и взрослых, джакузи, зоны отдыха, тренажерный зал, студия йоги, сауна, коворкинг, бар и ресторан на крыше, зона барбекю, паркинг. Проект расположенном в деловом районе Бангкока – Асоке. Всего в нескольких минутах ходьбы от станции надземного метро BTS. Этот оживленный район органично сочетает современную жизнь и наследие тайской культуры. В непосредственной близости расположены магазины и торговые центры, рестораны, кафе и бары, фитнес-центры, парки и скверы, международные школы. Площадь: 29.5 - 34.5 кв.м. Тип: Апартаменты с 1 спальней Цена: от 6.053.279 THB до 10.165.721 THB",$ 163 381 - 274 378,29 м²,Квартира,Таиланд,9348,https://intermark.ru/objects/tailand-apartamenty-728028
Кондо с развитой инфраструктурой в районе Чалонг,Кондо с развитой инфраструктурой в районе Чалонг,"Проект состоит из двух 7-этажных зданий и 241 юнита. В комплексе доступны студии и объекты с 1-3 спальнями. У 10% апартов есть собственный выход к бассейну, половина резиденций имеет потрясающий вид на море. Развитая инфраструктура комплекса открывает широкие возможности для комфортной жизни и превосходно подходит для семей с детьми: лобби, ресторан, три бассейна, спа-центр, сауна, хаммам, тренажерный зал, детская зона, коворкинг, meeting комнаты, паркинг. Кондоминиум расположен в спокойном районе Чалонг, который удален от туристической суеты. В непосредственной близости расположены живописные пляжи, пирс Чалонг, торговые центры и магазины, кафе и рестораны. Площадь: 36.85 - 74.99 кв.м. Тип:  Апартаменты с 1 спальней Цена: от 3.316.500 THB до 8.098.920 THB P137",$ 89 951 - 219 661,36 м²,Квартира,Таиланд,9352,https://intermark.ru/objects/tailand-apartamenty-728042
Элитные резиденции в деловом районе Бангкока,Элитные резиденции в деловом районе Бангкока,"Современный комплекс состоит из 372 апартаментов, расположенных на 43 этажах. В проекте представлены разнообразные варианты планировок апартаментов с 1-3 спальнями: от уютных небольших квартир до роскошных пентхаусов. Из окон резиденций открываются потрясающие виды на столицу Таиланда. Развитая инфраструктура комплекса предоставляет широкие возможности для комфортной жизни в динамичном городе: лобби, сад, бассейны для детей и взрослых, джакузи, зоны отдыха, тренажерный зал, студия йоги, сауна, коворкинг, бар и ресторан на крыше, зона барбекю, паркинг. Проект расположенном в деловом районе Бангкока – Асоке. Всего в нескольких минутах ходьбы от станции надземного метро BTS. Этот оживленный район органично сочетает современную жизнь и наследие тайской культуры. В непосредственной близости расположены магазины и торговые центры, рестораны, кафе и бары, фитнес-центры, парки и скверы, международные школы. Площадь: 41 - 78.6 кв.м. Тип:  Апартаменты с 2 спальнями Цена: от 7.923.540 THB до 37.778.819 THB",$ 213 860 - 1 019 671,41 м²,Квартира,Таиланд,9349,https://intermark.ru/objects/tailand-apartamenty-728029
Кондо с развитой инфраструктурой в районе Чалонг,Кондо с развитой инфраструктурой в районе Чалонг,"Проект состоит из двух 7-этажных зданий и 241 квартир с 1-3 спальнями, у 10% есть собственный выход к бассейну, половина резиденций имеет потрясающий вид на море. Развитая инфраструктура комплекса открывает широкие возможности для комфортной жизни и превосходно подходит для семей с детьми: лобби, ресторан, три бассейна, спа-центр, сауна, хаммам, тренажерный зал, детская зона, коворкинг, meeting комнаты, паркинг. Кондоминиум расположен в спокойном районе Чалонг, который удален от туристической суеты. В непосредственной близости расположены живописные пляжи, пирс Чалонг, торговые центры и магазины, кафе и рестораны. Площадь: 29.23 - 29.44 кв.м. Тип: Студия Цена: от 2.630.700  THB до 3.289.680 THB P137",$ 71 350 - 89 223,29 м²,Кондоминиум,Таиланд,9351,https://intermark.ru/objects/tailand-apartamenty-728041
Кондо с развитой инфраструктурой в районе Чалонг,Кондо с развитой инфраструктурой в районе Чалонг,"Проект состоит из двух 7-этажных зданий и 241 апартаментов. В комплексе доступны студии, квартиры с 1-3 спальнями. У 10% апартаментов есть собственный выход к бассейну, половина резиденций имеет потрясающий вид на море. Развитая инфраструктура комплекса открывает широкие возможности для комфортной жизни и превосходно подходит для семей с детьми: лобби, ресторан, три бассейна, спа-центр, сауна, хаммам, тренажерный зал, детская зона, коворкинг, meeting комнаты, паркинг. Кондоминиум расположен в спокойном районе Чалонг, который удален от туристической суеты. В непосредственной близости расположены живописные пляжи, пирс Чалонг, торговые центры и магазины, кафе и рестораны. Площадь: 50.44 - 81.86 кв.м. Тип: Апартаменты с 2 спальнями Цена: от 4.539.600 THB до 8.840.880 THB P137",$ 123 124 - 239 785,50 м²,Квартира,Таиланд,9353,https://intermark.ru/objects/tailand-apartamenty-728043
"Ультрасовременные, просторные виллы с 3 и 4 спальнями в районе Таланг","Ультрасовременные, просторные виллы с 3 и 4 спальнями в районе Таланг","Проект, расположенный в районе Таланг, состоит из 18 ультрасовременных вилл. Все виллы с 3-4 светлыми и просторными спальнями имеют собственный бассейн с морской водой, открытую террасу, прекрасный сад и парковку. Дома оборудованы системой «Умный дом». В непосредственной близости расположено множество кафе и ресторанов, в нескольких минутах езды находятся живописные пляжи Найтон и Лаян, поле для гольфа, аквапарк, торговые центры. Площадь: 321 - 334.5 кв.м. Тип:  Вилла с 3 спальнями Цена: от 19.500.000 THB до 23.000.000 THB P143",$ 530 756 - 626 020,321 м²,Вилла,Таиланд,9357,https://intermark.ru/objects/tailand-villa-728055
Семейные виллы в районе Ко Кеу,Семейные виллы в районе Ко Кеу,"Закрытый комплекс из 9 вилл – превосходное место для семей с детьми. Расположение на склоне холма в непосредственной близости к лучшим международным школам: British International School, Finnway, KIS и Headstart. Виллы с 4-5 просторными спальнями, большими бассейнами спроектированы с акцентом на функциональность и сохранение видовых характеристик местности. Из окон вилл открываются потрясающие виды на тропический лес и горы. Управляющая компания комплекса обеспечит уход за общими территориями и непревзойденный комфорт проживания. Инфраструктура: бассейн, терраса, сад и паркинг на территории каждой виллы, круглосуточная охрана и видеонаблюдение, фитнес-центр. Проект расположен в районе Ко Кеу в окружении международных школ, магазинов, кафе и ресторанов, торговых центров, больницы, яхт-клубов и гольф-клуба. Площадь: 325 кв.м. Тип:  Вилла с 4 спальнями Цена: от 46.974.454 THB до 51.768.806 THB P139",$ 1 278 912 - 1 409 442,325 м²,Вилла,Таиланд,9360,https://intermark.ru/objects/tailand-villa-728065
Ультрасовременные резиденции в районе Еккамаи,Ультрасовременные резиденции в районе Еккамаи,"37-этажный кондоминиум состоит из 287 просторных апартаментов. Планировки резиденций тщательно продуманы для семейной жизни, чтобы каждому было уютно и комфортно. Из окон квартир открываются потрясающие виды на динамичный город. Развитая инфраструктура комплекса оснащена всем необходимым для современной жизни: лобби, сад, 4 бассейна, тренажерный зал, спа-центр, онсен, библиотека, детская комната, коворкинг, симуляция гольфа, комнаты для йоги и балета, зона барбекю, общие пространства и зоны отдыха, паркинг Проект расположен в одном из самых престижных и стремительно развивающихся районов Бангкока – Еккамаи. Локация обеспечивает легкий доступ к развитой инфраструктуре района: международным школам, бизнес центрам, торговым центрам и магазинам, лучшие больницы и удобный общественный транспорт. Площадь: 162 - 241.5 кв.м. Тип:  Апартаменты с 3 спальнями Цена: от 67.000.000 THB до 102.000.000 THB B62",$ 1 808 367 - 2 753 036,162 м²,Квартира,Таиланд,9366,https://intermark.ru/objects/tailand-apartamenty-728079
Семейные виллы в районе Ко Кеу,Семейные виллы в районе Ко Кеу,"Закрытый комплекс из 9 вилл – превосходное место для семей с детьми. Расположение на склоне холма в непосредственной близости к лучшим международным школам: British International School, Finnway, KIS и Headstart. Виллы с 4-5 просторными спальнями, большими бассейнами спроектированы с акцентом на функциональность и сохранение видовых характеристик местности. Из окон вилл открываются потрясающие виды на тропический лес и горы. Управляющая компания комплекса обеспечит уход за общими территориями и непревзойденный комфорт проживания. Инфраструктура: бассейн, терраса, сад и паркинг на территории каждой виллы, круглосуточная охрана и видеонаблюдение, фитнес-центр. Проект расположен в районе Ко Кеу в окружении международных школ, магазинов, кафе и ресторанов, торговых центров, больницы, яхт-клубов и гольф-клуба. Площадь: 420 кв.м. Тип:  Вилла с 5 спальнями Цена: от 54.563.812 THB до 54.869.834 THB P139",$ 1 485 538 - 1 493 869,420 м²,Квартира,Таиланд,9361,https://intermark.ru/objects/tailand-728066
Виллы в азиатском стиле в районе Таланг,Виллы в азиатском стиле в районе Таланг,"Комплекс вилл вдохновлен азиатским стилем и превосходно адаптирован к современной жизни. Одновременно простой  и стильный дизайн создают ощущение непревзойденного уюта и комфорта. Дома оснащены системой «Умный дом». Просторные планировки и задний двор с бассейном с морской водой подарят незабываемые эмоции от жизни и отдыха на вилле. Расположение проекта позволяет сочетать спокойную жизнь в престижном районе острова и близость к развитой инфраструктуре. Инфраструктура: бассейн с морской водой, терраса, сад и парковка для двух автомобилей на каждой вилле. Площадь: 459.7 - 476,9 кв.м. Тип:  Вилла с 4 спальнями Цена: от 36.900.000 THB до 44.900.000 THB P145",$ 999 187 - 1 215 813,459 м²,Вилла,Таиланд,9356,https://intermark.ru/objects/tailand-villa-728054
"Ультрасовременные, просторные виллы с 3 и 4 спальнями в районе Таланг","Ультрасовременные, просторные виллы с 3 и 4 спальнями в районе Таланг","Проект, расположенный в районе Таланг, состоит из 18 ультрасовременных вилл. Все виллы с 3-4 светлыми и просторными спальнями имеют собственный бассейн с морской водой, открытую террасу, прекрасный сад и парковку. Дома оборудованы системой «Умный дом». В непосредственной близости расположено множество кафе и ресторанов, в нескольких минутах езды находятся живописные пляжи Найтон и Лаян, поле для гольфа, аквапарк, торговые центры. Площадь: 369.5 - 425.2 кв.м. Тип:  Вилла с 4 спальнями Цена: от 25.700.000 THB до 30.900.000 THB P143",$ 699 510 - 841 045,369 м²,Вилла,Таиланд,9358,https://intermark.ru/objects/tailand-villa-728056
Ультрасовременные резиденции в районе Еккамаи,Ультрасовременные резиденции в районе Еккамаи,"37-этажный кондоминиум состоит из 287 просторных апартаментов. Планировки резиденций тщательно продуманы для семейной жизни, чтобы каждому было уютно и комфортно. Из окон квартир открываются потрясающие виды на динамичный город. Развитая инфраструктура комплекса оснащена всем необходимым для современной жизни: лобби, сад, 4 бассейна, тренажерный зал, спа-центр, онсен, библиотека, детская комната, коворкинг, симуляция гольфа, комнаты для йоги и балета, зона барбекю, общие пространства и зоны отдыха, паркинг Проект расположен в одном из самых престижных и стремительно развивающихся районов Бангкока – Еккамаи. Локация обеспечивает легкий доступ к развитой инфраструктуре района: международным школам, бизнес центрам, торговым центрам и магазинам, лучшие больницы и удобный общественный транспорт. Площадь: 87 - 135 кв.м. Тип:  Апартаменты с 2 спальнями Цена: от 24.330.000 THB до 52.000.000 THB B62",$ 656 680 - 1 403 508,87 м²,Квартира,Таиланд,9365,https://intermark.ru/objects/tailand-apartamenty-728078
